circuit,n_qubits,family,depth_bucket,decision_class,rec_key,fastest_key,is_fastest,overhead,source
RandNonCliff-16-shallow-b11,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,84.25,local
VQE-10-b7,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,83.58,local
GHZ-8-b2,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,83.17,local
VQE-10-b5,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,81.06,local
RandNonCliff-20-medium,20,RandomNonClifford,medium,low_tw,native/matrix_product_state,qpanda/statevector,False,78.74,ec2
VQE-10-b1,10,VQE,,low_tw,native/statevector,qpanda/statevector,False,77.78,local
VQE-10-b2,10,VQE,,low_tw,native/statevector,qpanda/statevector,False,77.59,local
VQE-10-b15,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,76.0,local
GHZ-8-b7,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,74.8,local
LinCluster-12-b11,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,73.39,local
LinCluster-12-b7,12,LinearCluster,,clifford,native/statevector,qpanda/statevector,False,71.77,local
LinCluster-8-b0,8,LinearCluster,,clifford,cupy/statevector,qpanda/density_matrix,False,71.35,local
LinCluster-12-b6,12,LinearCluster,,clifford,native/statevector,qpanda/statevector,False,65.76,local
QAOA-8-b8,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,65.57,local
LinCluster-12-b2,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,64.64,local
VQE-10-b14,10,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,64.56,local
RandNonCliff-20-shallow,20,RandomNonClifford,shallow,low_tw,native/matrix_product_state,qpanda/statevector,False,62.17,ec2
QAOA-8-b6,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,61.68,local
GHZ-8-b12,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,59.32,local
VQE-8-b12,8,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,58.54,local
VQE-8-b5,8,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,57.05,local
QAOA-8-b5,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,56.64,local
RandNonCliff-16-shallow-b1,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,56.24,local
QAOA-8-b4,8,QAOA,,low_tw,native/statevector,qpanda/statevector,False,55.69,local
RandNonCliff-16-medium-b12,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,54.72,local
QAOA-8-b3,8,QAOA,,low_tw,native/statevector,qpanda/statevector,False,54.21,local
VQE-8-b4,8,VQE,,low_tw,native/statevector,qpanda/statevector,False,53.32,local
QAOA-8-b13,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,53.06,local
QAOA-8-b2,8,QAOA,,low_tw,native/statevector,qpanda/statevector,False,51.18,local
LinCluster-12-b1,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,48.98,local
VQE-8-b7,8,VQE,,low_tw,native/statevector,qpanda/statevector,False,48.96,local
GHZ-8-b5,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,48.79,local
RandNonCliff-16-medium-b2,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,48.21,local
VQE-8-b15,8,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,47.15,local
LinCluster-12-b8,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,46.97,local
LinCluster-12-b5,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,46.24,local
VQE-8-b3,8,VQE,,low_tw,native/statevector,qpanda/density_matrix,False,45.69,local
RandNonCliff-16-shallow-b4,16,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,45.4,local
QAOA-8-b1,8,QAOA,,low_tw,native/statevector,qpanda/statevector,False,43.86,local
QAOA-8-b7,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,41.09,local
QAOA-8-b14,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,39.88,local
Grover-12-b3,12,Grover,,clifford,qpanda/statevector,qiskit/stabilizer,False,35.32,local
VQE-12,12,VQE,,low_tw,qiskit/statevector,native/statevector,False,33.77,ec2
Grover-12-b7,12,Grover,,clifford,qpanda/statevector,qpanda/density_matrix,False,32.08,local
LinCluster-12-b9,12,LinearCluster,,clifford,native/statevector,qpanda/density_matrix,False,31.61,local
QAOA-8-b11,8,QAOA,,low_tw,native/statevector,qpanda/density_matrix,False,31.49,local
LinCluster-12-b3,12,LinearCluster,,clifford,native/statevector,qpanda/statevector,False,26.66,local
GHZ-12-b1,12,GHZ,,clifford,native/statevector,qpanda/density_matrix,False,24.85,local
Grover-12-b6,12,Grover,,clifford,qpanda/statevector,qiskit/stabilizer,False,23.61,local
QPE-10-b4,11,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,19.29,local
Bonus-RandCliff-20-deep-14150,20,RandomClifford,deep,clifford,qiskit/stabilizer,qpanda/statevector,False,18.94,ec2
GHZ-8-b1,8,GHZ,,clifford,cupy/statevector,qpanda/density_matrix,False,16.85,local
Bonus-RandCliff-20-deep-92517,20,RandomClifford,deep,clifford,qiskit/stabilizer,qpanda/statevector,False,14.82,ec2
Grover-12-b1,12,Grover,,clifford,qpanda/statevector,qiskit/statevector,False,13.81,local
Bonus-RandCliff-20-shallow-16308,20,RandomClifford,shallow,clifford,qiskit/stabilizer,qpanda/statevector,False,13.62,ec2
Bonus-RandCliff-20-shallow-22774,20,RandomClifford,shallow,clifford,qiskit/stabilizer,qpanda/statevector,False,13.31,ec2
Bonus-RandCliff-20-medium-14162,20,RandomClifford,medium,clifford,qiskit/stabilizer,qpanda/statevector,False,13.01,ec2
Bonus-RandCliff-20-medium-14088,20,RandomClifford,medium,clifford,qiskit/stabilizer,qpanda/statevector,False,12.64,ec2
Bonus-RandCliff-20-shallow-42774,20,RandomClifford,shallow,clifford,qiskit/stabilizer,qpanda/statevector,False,12.26,ec2
GHZ-16-b9,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,12.18,local
GHZ-16-b15,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,10.45,local
GHZ-16-b7,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,10.37,local
RandNonCliff-12-medium-b7,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,9.43,local
VQE-12-b11,12,VQE,,low_tw,qiskit/statevector,qpanda/density_matrix,False,9.33,local
RandNonCliff-12-shallow-b14,12,RandomNonClifford,shallow,low_tw,qpanda/statevector,qiskit/statevector,False,8.75,local
RandNonCliff-8-shallow-b8,8,RandomNonClifford,shallow,low_tw,qpanda/statevector,qpanda/density_matrix,False,8.68,local
RandNonCliff-12-medium-b2,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,7.88,local
GHZ-16-b5,16,GHZ,,clifford,qiskit/stabilizer,qiskit/statevector,False,7.78,local
Bonus-RandCliff-12-shallow-69116,12,RandomClifford,shallow,clifford,qiskit/statevector,qpanda/density_matrix,False,7.76,ec2
RandNonCliff-8-medium-b12,8,RandomNonClifford,medium,low_tw,qpanda/statevector,qpanda/density_matrix,False,7.64,local
LinCluster-16-b8,16,LinearCluster,,clifford,qiskit/stabilizer,qiskit/statevector,False,7.43,local
QPE-16-b13,17,QPE,,low_tw,qpanda/statevector,qiskit/statevector,False,6.62,local
QPE-12-b1,13,QPE,,low_tw,qpanda/statevector,qpanda/density_matrix,False,6.42,local
QAOA-12-b9,12,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,6.17,local
RandNonCliff-16-medium-b4,16,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,5.38,local
Grover-12-b2,12,Grover,,clifford,qpanda/statevector,qpanda/density_matrix,False,5.35,local
RandNonCliff-12-medium,12,RandomNonClifford,medium,low_tw,qpanda/statevector,qiskit/statevector,False,5.29,ec2
QAOA-12-b5,12,QAOA,,low_tw,qiskit/statevector,qpanda/statevector,False,5.28,local
LinCluster-16-b14,16,LinearCluster,,clifford,qiskit/stabilizer,qpanda/statevector,False,5.18,local
LinCluster-8-b11,8,LinearCluster,,clifford,cupy/statevector,qpanda/statevector,False,5.16,local
